id;title;banner_image;banner_image_content_type;is_active;init_date;end_date;init_time;end_time;description;url;created_at;modification_date;priority
1;for rigidly;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-06;2024-05-06T19:29:52;2024-05-06T18:53:49;finally solid deploy;https://smoggy-main.com/;2024-05-06T11:49:45;2024-05-06T16:18:43;17577
2;rash;../fake-data/blob/hipster.png;image/png;true;2024-05-05;2024-05-06;2024-05-06T05:32:07;2024-05-06T05:07:49;toughen whoa fava;https://favorable-spit.info/;2024-05-05T22:28:28;2024-05-06T15:55:26;5549
3;curry warn vivid;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-06;2024-05-06T04:34:10;2024-05-06T07:18:44;geez ottoman;https://understated-anniversary.name/;2024-05-06T15:44:16;2024-05-06T01:52:13;26481
4;literate insurance;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-05;2024-05-06T04:44:49;2024-05-06T09:41:37;retrain suddenly;https://plush-egghead.info;2024-05-06T10:18:37;2024-05-06T10:31:58;7422
5;prohibition during;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-06;2024-05-06T19:21:49;2024-05-06T18:09:20;ugh yearningly;https://royal-compliance.name;2024-05-06T04:33:38;2024-05-06T11:11:26;17969
6;ack miserable;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-06;2024-05-05T22:14:35;2024-05-06T03:46:54;wrongly around lest;https://fickle-hutch.biz;2024-05-06T10:05:22;2024-05-06T04:31:28;16428
7;mile;../fake-data/blob/hipster.png;image/png;false;2024-05-06;2024-05-06;2024-05-06T12:55:28;2024-05-06T05:50:00;incidentally ordinary wretched;https://good-cello.info;2024-05-06T09:34:36;2024-05-06T02:38:58;22888
8;viciously apropos failing;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-06;2024-05-06T15:46:56;2024-05-06T12:31:25;that ordinary ack;https://edible-needle.net;2024-05-06T10:56:22;2024-05-06T01:56:30;7238
9;as drat fingerprint;../fake-data/blob/hipster.png;image/png;true;2024-05-06;2024-05-06;2024-05-06T08:41:20;2024-05-06T05:26:43;viciously;https://repentant-clipper.info/;2024-05-06T19:29:45;2024-05-06T12:10:54;25272
10;deeply wide;../fake-data/blob/hipster.png;image/png;false;2024-05-06;2024-05-06;2024-05-06T06:52:51;2024-05-06T02:45:13;rationalize closet;https://imperfect-tape.name/;2024-05-06T18:28:07;2024-05-05T23:14:46;28105
