id;description;primary_colour;secondary_colour;tertiary_colour;neutral_colour;ligth_background_colour;dark_background_colour
1;eek advertisement;pish provided;compromise;while;eek hydraulics;tightly welcome;post alongside
2;courageously hearth temp;sofa orderly;signal substantial;thick yuck;upliftingly;boo;bit below
3;from yawning;yum bookend;string;whereas;closed lest;whether ack witness;excepting even
4;stroll dearly;seemingly leading attorney;uh-huh fruitful deficient;oppose;tea good abaft;regarding;save bread
5;um;soft because stiff;squeaky nor times;hourly;scarily;rectify into boo;immediate ew
6;fairly amount;jazz unnecessarily;minus peaceful;whether evenly;till shameless;buttery plasticise;potable scotch
7;furthermore yum than;ick facelift when;woot;choosing out;brr qua phooey;since yum sans;quote card save
8;questioningly;transcribe woot boldly;barometer intensely fully;sociology oeuvre;pro blah opposite;yahoo industrialisation loose;primate
9;beside;snowplow sans now;school;crazy;posh parsnip;abnormally;once round
10;instead;huzzah displace;hydrate;so dim mortified;rout powerfully;merrily;pfft
