id;title;url;icon;is_active;priority;component
1;cruelly oof;https://tragic-suspension.org;meh whoever;true;15123;versus
2;before hot;https://untimely-deer.name;as hourly;true;8530;certificate annually swoop
3;pasture vilify gadzooks;https://mad-curler.name;or;false;15173;silly casserole paint
4;quietly quietly;https://defiant-worship.org;leadership;true;32458;ideal feminize gosh
5;now;https://inexperienced-quest.info;whether freely;true;30670;inasmuch oof
6;geez;https://impish-caboose.biz/;pocket pfft deconstruct;true;29902;adorable
7;immaterial extra-large;https://talkative-oncology.info/;unbearably ivory;false;13833;who cruel
8;vastly why;https://thin-horseradish.org/;toot;true;5345;reapply upbraid
9;defiantly;https://handy-heater.com/;communicant times;true;10525;amidst provided duh
10;including tally;https://tragic-width.com/;woot repeatedly;true;20371;ambitious
