id;code;name;url_android;url_ios;description;version;is_active
1;gee;sweater competent during;apud despite oh;dispossess anti duh;geld notwithstanding ornament;16184.04;true
2;spherical since than;gah;kindly evenly;that;sideboard rapidly warlike;4098.58;true
3;extra-small;epitomise qua pish;er whoever astride;mid chubby;aboard;13741.09;true
4;duh nearly triumphantly;whereas;disown;courageously;urban position;32043.42;false
5;pro closet;accommodation;duh meaningfully;inside giving yuck;dapper wend;8350.98;false
6;upward carelessly finally;wildly these stinger;regularly until;beneficial wetly;inasmuch or upon;32529.64;true
7;huzzah;worth;urgently soulful;aboard during;slider;26929;true
8;woefully unlawful;ephyra drat;maul;common because;yahoo since;30895.24;false
9;where;viciously;boolean;irritably tempt curly;granular ouch;16532.14;false
10;whether;quirkily brr;chub;blindly and meh;snitch overlooked;25854.44;true
