id;code;question;answer;question_category_id
1;whoa carelessly socialist;plonk so;birdbath;11323
2;barring afore forsaken;notwithstanding;suspicious sepal now;20194
3;yahoo;contort across;dock although resale;26958
4;mandolin;flinch winged sympathetic;after like;1261
5;astride deduct;enact relative gosh;impassioned above and;12616
6;fooey;plantation disloyal excepting;publication;29058
7;glaze but;horseradish substantial galumph;jam contraindicate deodorant;1397
8;highly;kissingly incidentally brr;except wombat to;9025
9;idolise entomb when;outstanding alligator;till;6473
10;generously provided unselfish;above;immaculate;4332
