id;title;url;icon;colour
1;amused;https://front-intervenor.com;mixed repent;finally
2;hence um;https://vicious-witch.org/;provided exclamation provided;as huzzah er
3;inwardly cheek;https://assured-subscription.com;overemphasize polished plus;yippee
4;through;https://agitated-nibble.org;onto astonishing productive;unacceptable amid round
5;anise bravely;https://homely-bassinet.biz/;procrastinate colorful cushion;aha
6;by studious;https://rude-possible.biz/;redact;closely pfft psychiatrist
7;since save whack;https://merry-deathwatch.info/;western lyocell;bore inasmuch
8;loosely;https://small-consignment.net;inhabit judicious blazon;rite correctly astride
9;compassionate;https://unripe-water.com/;cart than;enlightened inhibition by
10;localize ew;https://muffled-rating.name/;install experienced;gleefully gah
